k,view,norm,avg_popularity
0,Interest,2.497727155685425,4.298998436892539
1,Interest,0.12705841660499573,6.97692722618558
2,Interest,0.8805049061775208,6.3598252304598155
3,Interest,0.16788814961910248,6.387261058480351
4,Interest,0.6174139976501465,6.423439072417816
5,Interest,5.372617244720459,3.8470618359523128
6,Interest,2.2412219047546387,3.4115655568472425
7,Interest,5.340288162231445,3.5027799350380393
8,Interest,5.17077112197876,4.92791776803198
9,Interest,5.16597843170166,5.189096508966338
10,Interest,5.3769145011901855,5.312598596262455
11,Interest,5.419079780578613,2.9686482499347426
12,Interest,5.7566938400268555,4.548779808381659
13,Interest,0.17854514718055725,7.239553553341525
14,Interest,2.2458832263946533,5.377874349981168
15,Interest,0.15101097524166107,7.372661329895242
16,Interest,4.384177207946777,5.169330892831298
17,Interest,0.1617310792207718,7.215922882669527
18,Interest,5.730977535247803,3.836051655970895
19,Interest,4.919297695159912,4.387343047298673
20,Interest,0.1268293857574463,7.561146049566261
21,Interest,5.377319812774658,3.856063140389503
22,Interest,5.396073341369629,3.4831981049931926
23,Interest,0.1682092696428299,7.3054645057159275
24,Interest,0.1282692700624466,7.171181202872542
25,Interest,0.16576828062534332,6.6827324315698675
26,Interest,0.14644372463226318,7.380972498113532
27,Interest,0.14465372264385223,6.993888452481224
28,Interest,5.460564613342285,5.17103404239453
29,Interest,0.1279522031545639,7.1133269701677335
30,Interest,1.5686588287353516,6.833287296434504
31,Interest,5.4058003425598145,3.4935527236357244
32,Interest,5.306123733520508,3.401403494650136
33,Interest,1.7582629919052124,6.4168433288536235
34,Interest,0.13563178479671478,7.375619216238041
35,Interest,4.61573600769043,4.51421897958156
36,Interest,5.7220377922058105,3.345616324582836
37,Interest,0.17965523898601532,7.014318358706694
38,Interest,0.11260699480772018,7.500398333185402
39,Interest,0.18431499600410461,5.653598854155147
40,Interest,0.4414966106414795,7.088913342447344
41,Interest,0.11444459110498428,7.52569347380054
42,Interest,0.13009563088417053,7.430120861610574
43,Interest,0.130875363945961,7.0824232956709565
44,Interest,0.12155478447675705,7.457034908076373
45,Interest,0.11952070891857147,7.503280005439518
46,Interest,0.22375214099884033,7.221142312863603
47,Interest,4.79994535446167,5.005137895472957
48,Interest,5.515707492828369,3.8746288857533644
49,Interest,0.12924203276634216,7.319027668547261
50,Interest,0.12214736640453339,7.475900419066784
51,Interest,1.2642631530761719,6.092404299251827
52,Interest,0.13489378988742828,7.30831764862104
53,Interest,0.13612471520900726,6.826343363074676
54,Interest,0.12539108097553253,7.502269386080455
55,Interest,5.319976806640625,3.905422349374122
56,Interest,0.1479828655719757,6.775495830628115
57,Interest,5.498427867889404,3.6661097581744273
58,Interest,0.14069797098636627,7.448453377040695
59,Interest,0.16478462517261505,7.146795521206482
60,Interest,4.896219253540039,4.171057379960407
61,Interest,0.1146930381655693,7.490338104367309
62,Interest,5.294275283813477,4.719958821800848
63,Interest,1.3373183012008667,2.370777671198485
64,Interest,0.11988211423158646,7.104263878446252
65,Interest,0.13480781018733978,7.539602568394725
66,Interest,0.10295576602220535,7.509131625101743
67,Interest,5.219508647918701,4.607891175876128
68,Interest,4.850066661834717,5.0682194666311
69,Interest,0.13883815705776215,7.437527057132391
70,Interest,5.065586566925049,3.997614383907684
71,Interest,5.500978946685791,3.88821660615685
72,Interest,5.483208179473877,3.5776470603792374
73,Interest,5.4236955642700195,4.6946106271468
74,Interest,0.14199817180633545,7.24410468421119
75,Interest,5.6754631996154785,5.3412093601736474
76,Interest,0.1456218957901001,7.483273418656637
77,Interest,5.397131443023682,4.637165132867147
78,Interest,5.603361129760742,3.7149458864511957
79,Interest,5.519257545471191,5.4924416749840805
80,Interest,2.4509918689727783,3.292562306420963
81,Interest,5.545836448669434,3.1468585785065977
82,Interest,0.17076021432876587,6.990261020875629
83,Interest,4.286352634429932,4.274949116483979
84,Interest,0.21721391379833221,6.940665619707076
85,Interest,0.1451430469751358,7.336897731427046
86,Interest,5.3112101554870605,3.4944804237377944
87,Interest,1.4437991380691528,2.3961329059805676
88,Interest,1.9667080640792847,3.5169176416296972
89,Interest,4.611184597015381,3.848359949725919
90,Interest,5.525572776794434,4.6244162093107395
91,Interest,0.12007077783346176,7.582556962706183
92,Interest,5.250373840332031,3.741144006716117
93,Interest,3.8721728324890137,5.478526709659701
94,Interest,0.8431137204170227,2.4658981274924896
95,Interest,0.14453133940696716,6.910834977009347
