folder_name,param_alpha,param_cg_steps,param_density,param_embedding_dim,param_k,param_l1_ratio,param_learning_rate,param_max_iter,param_name,param_positive_constraint,param_reg_lambda,param_save_model,param_target_k,param_tol,param_visualize,Coverage@10,Coverage@20,Coverage@5,Coverage@50,Entropy@10,Entropy@20,Entropy@5,Entropy@50,GiniIndex,GiniIndex@10,GiniIndex@20,GiniIndex@5,GiniIndex@50,GiniIndex_emb,GiniIndex_emb@10,GiniIndex_emb@20,GiniIndex_emb@5,GiniIndex_emb@50,HeadHitRate@10,HeadHitRate@20,HeadHitRate@5,HeadHitRate@50,HeadNDCG@10,HeadNDCG@20,HeadNDCG@5,HeadNDCG@50,HitRate@10,HitRate@20,HitRate@5,HitRate@50,ILD@10,ILD@20,ILD@5,ILD@50,LongTailCoverage@10,LongTailCoverage@20,LongTailCoverage@5,LongTailCoverage@50,LongTailHitRate@10,LongTailHitRate@20,LongTailHitRate@5,LongTailHitRate@50,LongTailNDCG@10,LongTailNDCG@20,LongTailNDCG@5,LongTailNDCG@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50,Novelty@10,Novelty@20,Novelty@5,Novelty@50,PopRatio@10,PopRatio@20,PopRatio@5,PopRatio@50
svd_ae__BEST_svd_ae_SVDAE_Params_Search,,,,,1353,,,,svd_ae,,3754.0210905593963,True,,,True,0.18176,0.2336,0.13952,0.32704,7.31721511378703,7.802568840971725,6.892392291694418,8.459634361500862,0.9166257744779582,0.9613159562479284,0.9464180099436527,0.9710616479946967,0.9166257744779582,,0.0,0.0,0.0,0.0,0.3301402668491276,0.47947314403010605,0.2057817310981868,0.7162162162162162,0.07533713118361654,0.09613204162987513,0.0631220262437298,0.14283996013922623,0.32001988730527015,0.4648657606894266,0.19937023533311235,0.6957242293669208,0.0,0.0,0.0,0.0,0.010355695632597929,0.022062134173795586,0.0018009905447996398,0.08104457451598379,0.0005074854097944684,0.0010149708195889369,0.0,0.0053285968028419185,7.771417025278002e-05,0.00015039227867897812,0.0,0.0006360537447604815,0.06792030186021855,0.08397289177337806,0.05854173070480368,0.12217149667786396,8.727482836122341,8.907262650388992,8.592733841894693,9.199932502140777,8.223542390014225,7.46164562243544,8.97566503307679,6.309151989402728
ials__BEST_ials_iALS_Lambda_Search,1.2859085634171035,3,,128,,,,15,ials,,48.404492915798045,True,,,True,0.17664,0.2224,0.13952,0.31488,7.536384231956893,7.990016619462585,7.12396222905347,8.615294208405313,0.9069951490884985,0.9553925091150149,0.9392927437852171,0.9662798700696056,0.9069951490884985,0.5227766383067989,0.14699957475134365,0.16235357485010204,0.13381925455983906,0.1833285879781459,0.3221005815942525,0.4692097160451591,0.20047895997263085,0.7155319876838864,0.07399772485076793,0.09482805602965208,0.062141643474260565,0.14167286693048486,0.31206496519721577,0.4549221080543586,0.1942326814716606,0.694729864103414,0.6329551061919718,0.613157337055445,0.7342514027753412,0.632519313257421,0.0036019810895992796,0.013057181449797388,0.0,0.06348491670418731,0.0,0.0007612281146917026,0.0,0.00482111139304745,0.0,0.00012085825809184442,0.0,0.0005032273414365498,0.06640167465604231,0.08263331985948238,0.057524764476784354,0.1206747491471644,8.809193757405724,8.990495909767406,8.665234491597598,9.282754229505203,7.9304388155804295,7.191288654945471,8.487889731049952,6.12922715299626
sansa__BEST_sansa_SANSA_Lambda_Search,,,0.08393721908400291,,,,,,sansa,,3929.7334197319738,True,0,,True,0.17888,0.2304,0.13632,0.32608,7.282612270322894,7.768599782552553,6.856377180547579,8.432800278268973,0.9181844661584355,0.9622480715942989,0.9476749618826649,0.9717834670202188,0.9181844661584355,,0.0,0.0,0.0,0.0,0.3309955525145399,0.4786178583646938,0.20492644543277455,0.715018816284639,0.0753365774674269,0.09590265097873091,0.06277839353432683,0.14248858237030004,0.3208485250248591,0.46403712296983757,0.19854159761352336,0.694729864103414,0.0,0.0,0.0,0.0,0.00945520036019811,0.0225123818099955,0.0027014858171994596,0.08014407924358397,0.0005074854097944684,0.0010149708195889369,0.0,0.005836082212636387,7.771417025278002e-05,0.00011497097092339564,0.0,0.0006958057359066717,0.06792672429285723,0.08379152380866786,0.05828535199354517,0.12194527956807383,8.715257400686632,8.893999076117346,8.581090303348343,9.18766333120112,8.273545238908655,7.509267672941587,9.042379983050624,6.3360656958333985
slim__BEST_slim_SLIM_ElasticNet_Search,0.0009099311402095205,,,,,0.9875214125185461,0.1,500,slim,True,,True,,1e-4,True,0.34752,0.4272,0.2752,0.55488,8.413624528081176,8.790326703325725,8.044413218123678,9.285876192755314,0.8495173069937023,0.9133136864434869,0.8903648763672523,0.9314063400729201,0.8495173069937023,,0.0,0.0,0.0,0.0,0.3190215531987684,0.47434143003763257,0.20355798836811495,0.6999657885733835,0.07034654484079658,0.09088512980279115,0.05984847436565372,0.1325557905267686,0.31206496519721577,0.46602585349685116,0.19903878024527677,0.691415313225058,0.0,0.0,0.0,0.0,0.12426834759117515,0.20576316974335884,0.06888788833858622,0.37370553804592527,0.007104795737122558,0.016747018523217458,0.0032986551636640447,0.050241055569652374,0.001932527880632278,0.003664629200178004,0.0010668965061536252,0.007208106340213585,0.06310707469214885,0.07969524275057553,0.055206293084308564,0.11454657915124497,9.193963418014638,9.35616414762901,9.062098236879669,9.619878727214742,7.00692707243732,6.395771777194013,7.472917071020089,5.599136857718191
rlae__BEST_rlae_RLAE_Params_Search,0.17374578215464692,,,,,,,,rlae,,3915.8136788487154,True,,,True,0.17824,0.232,0.136,0.32512,7.282824417170939,7.770947970642699,6.854650107588771,8.435029689589165,0.9180477072588664,0.9622300510440835,0.9475871448458734,0.9718254477958237,0.9180477072588664,,0.0,0.0,0.0,0.0,0.3303113239822101,0.4796442011631885,0.2054396168320219,0.7167293876154636,0.07531000993324755,0.09591301332341452,0.0629012430354201,0.14267276792843842,0.32018561484918795,0.4650314882333444,0.19903878024527677,0.6960556844547564,0.0,0.0,0.0,0.0,0.00990544799639802,0.022062134173795586,0.0022512381809995496,0.07969383160738407,0.0005074854097944684,0.0010149708195889369,0.0,0.005074854097944684,7.771417025278002e-05,0.00011497097092339564,0.0,0.0006109706861044361,0.06792083288175042,0.08384727536723038,0.058401051382973676,0.12208498284310487,8.71531370699099,8.894703074801361,8.58066734718625,9.188379873929103,8.26759147261747,7.5120594314545075,9.029312170284042,6.340178233611367
light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,,,,,509,,,,light_lira,,17260.43596604618,True,,,True,0.21216,0.27616,0.15968,0.38592,7.242739564766205,7.722919305412159,6.8190060381164095,8.406543335035286,0.9188320816705337,0.9620831925754061,0.9480570739144846,0.9714844043752071,0.9188320816705337,0.4579381476517398,0.033863562192346715,0.04221374945214121,0.028099308611163304,0.05994326304718282,0.3282586383852207,0.47656517276770444,0.2078344166951762,0.7074923024290113,0.07579281885180285,0.09631663847340657,0.06426545350634064,0.14230452184388667,0.31836261186609216,0.4627113026184952,0.20135896586012594,0.6904209479615512,1.1077626940328473,1.0498785385537868,1.2459916454061672,1.018123931251775,0.027915353444394417,0.06168392615938766,0.013957676722197209,0.1535344439441693,0.0007612281146917026,0.002537427048972342,0.0002537427048972342,0.013702106064450647,0.00012111629677628102,0.0004700923614968016,6.70053596987036e-05,0.001967136285212328,0.06836748486466372,0.0844607309731925,0.059584497860093635,0.12244979043989654,8.70625967814116,8.875351018612532,8.5769459538119,9.169646614423726,8.44312543734961,7.602592037672442,9.168830639070533,6.399367456089757
pure-svd__BEST_pure_svd_PureSVD_Rank_Search,,,,21,,,,,pure-svd,,,True,,,True,0.16928,0.22048,0.13472,0.31072,7.678977190294988,8.171818663196053,7.227088187720716,8.826335168465059,0.8920493438515081,0.9512296559496188,0.9314714855817037,0.9642169784554193,0.8920493438515081,,0.0,0.0,0.0,0.0,0.31029763941156346,0.46185425932261376,0.19158398905234347,0.6999657885733835,0.07124943566209194,0.09226543003995069,0.05927168793285092,0.13580449766753766,0.3007954922108054,0.44763009612197546,0.18561484918793503,0.679814385150812,0.0,0.0,0.0,0.0,0.0022512381809995496,0.01125619090499775,0.0,0.05853219270598829,0.0002537427048972342,0.0005074854097944684,0.0,0.008119766556711495,1.93208172335406e-05,9.803859002453133e-05,0.0,0.0007898287330194699,0.06388979334728055,0.08019600308097381,0.05489594661391089,0.11547415287298375,8.88692536775967,9.095516068973453,8.72178222307298,9.421293938383537,7.476983670877131,6.74427261085998,8.180616716217335,5.787962991840755
ease__BEST_ease_EASE_Lambda_Search,,,,,,,,,ease,,2349.449099779681,True,,,True,0.18464,0.24224,0.13952,0.34528,7.276812966773553,7.797737061857636,6.815573837870304,8.499068932180712,0.9141157186609215,0.9621312509115015,0.9463236963871395,0.9722993065959562,0.9141157186609215,,0.0,0.0,0.0,0.0,0.3328771809784468,0.4804994868286008,0.2078344166951762,0.7182689018132056,0.07526026548051327,0.09609626331071745,0.06284626634709634,0.14293369301379266,0.3226715280079549,0.46586012595293336,0.20135896586012594,0.6983758700696056,0.0,0.0,0.0,0.0,0.01125619090499775,0.027915353444394417,0.0027014858171994596,0.09815398469158038,0.0005074854097944684,0.0010149708195889369,0.0,0.006851053032225323,8.167939668736697e-05,0.00015378785236762178,0.0,0.0009022476791044833,0.06776430199498507,0.08387730843414287,0.058328717415789516,0.12223863159309524,8.70549788288351,8.89902740724511,8.559246094644918,9.212190782446896,8.375012248477038,7.488812726472231,9.14568682257492,6.2774120078556175
infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,,,,,,,,,infinity_ae,,291.04464221416634,True,,,True,0.03424,0.05248,0.02336,0.09728,4.903488636962588,5.612486282862918,4.292500979579878,6.687519476217249,0.9742630374544249,0.9927567464368579,0.9879707258866424,0.9953305031488233,0.9742630374544249,,0.0,0.0,0.0,0.0,0.2687307560725282,0.3992473486144372,0.17413616147793362,0.6106739651043448,0.05852831202771508,0.07233182065214891,0.05251810855009606,0.10830189202951028,0.26035797149486245,0.3868080875041432,0.1687106397083195,0.5916473317865429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05395613240623895,0.06477828047655135,0.049544827087223804,0.09440480298679996,8.113829203612523,8.27554606672959,8.006962696853643,8.627678982894327,11.080302298278896,9.992145068476196,11.962969075376595,8.077585526580746
lira__BEST_lira_LiRA_Lambda_Search,,,,,,,,,lira,,17120.728260823853,True,,,True,0.20736,0.2704,0.15392,0.38016,7.242708968695424,7.72288454933731,6.817783943136138,8.401497114969688,0.9193713532648327,0.9623870175671196,0.948369150812065,0.9717435227046736,0.9193713532648327,0.23720912976417718,0.0687116964857586,0.07573348112034327,0.06300848876831842,0.08478967789294228,0.3291139240506329,0.47656517276770444,0.2081765309613411,0.7062949024974341,0.07572705447274823,0.09613776407485633,0.06433405021974163,0.14220742127635116,0.3191912495856811,0.4630427577063308,0.20169042094796155,0.688929400066291,0.5410496277458667,0.5261395416208005,0.6388531573509435,0.5517919690039208,0.028365601080594327,0.06258442143178748,0.012606933813597478,0.15173345339936967,0.0007612281146917026,0.0030449124587668104,0.0002537427048972342,0.01268713524486171,0.00011850135892042731,0.0006461833297331473,6.70053596987036e-05,0.0017709256943579743,0.06828848192564443,0.08445346596420382,0.059716778952523614,0.12229447237532887,8.70664098947993,8.87701321601707,8.57572592956997,9.169940191247415,8.410015083926512,7.600546149508853,9.15321693448959,6.397048054005368
