Model,Run,NDCG,LongTailCoverage,Expected_NDCG,PEI,PEI_Percent
svd_ae,svd_ae__BEST_svd_ae_SVDAE_Params_Search,0.06792030186021855,0.010355695632597929,0.021343283269727027,3.182279923940082,218.2279923940082
ials,ials__BEST_ials_iALS_Lambda_Search,0.06640167465604231,0.0036019810895992796,0.021832327318617034,3.0414382162280864,204.14382162280864
sansa,sansa__BEST_sansa_SANSA_Lambda_Search,0.06792672429285723,0.00945520036019811,0.021422963382323357,3.1707436119181036,217.07436119181037
slim,slim__BEST_slim_SLIM_ElasticNet_Search,0.06310707469214885,0.12426834759117515,0.019289624599104414,3.271555357022283,227.1555357022283
rlae,rlae__BEST_rlae_RLAE_Params_Search,0.06792083288175042,0.00990544799639802,0.021383123326025193,3.17637567936975,217.637567936975
light_lira,light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,0.06836748486466372,0.027915353444394417,0.02095754940534498,3.262188891570853,226.21888915708527
pure-svd,pure-svd__BEST_pure_svd_PureSVD_Rank_Search,0.06388979334728055,0.0022512381809995496,0.022140425789352318,2.885662360567888,188.5662360567888
ease,ease__BEST_ease_EASE_Lambda_Search,0.06776430199498507,0.01125619090499775,0.021269138335669797,3.1860388947369676,218.60388947369677
infinity_ae,infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,0.05395613240623895,0.0,,inf,inf
lira,lira__BEST_lira_LiRA_Lambda_Search,0.06828848192564443,0.028365601080594327,0.020951856509170974,3.2593045821859956,225.93045821859957
